origin_path,origin_page,origin_summary,link_context,line,link_text,link_target,destination_path,destination_page,destination_summary,status,link_works,destination_appropriate,note
README.md,BNR info-hub,,Stata entry points,90,`scripts/stata/README.qmd`,scripts/stata/README.qmd,scripts/stata/README.qmd,Stata code inventory,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,20,`config/bnr_paths_TEMPLATE.do`,config/bnr_paths_TEMPLATE.do,scripts/stata/config/bnr_paths_TEMPLATE.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,21,`menu/bnr_menu.do`,menu/bnr_menu.do,scripts/stata/menu/bnr_menu.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,22,`common/bnrcvd_globals.do`,common/bnrcvd_globals.do,scripts/stata/common/bnrcvd_globals.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,23,`common/bnr_step4_stage_metric.do`,common/bnr_step4_stage_metric.do,scripts/stata/common/bnr_step4_stage_metric.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,24,`common/bnr_step5_suppress.do`,common/bnr_step5_suppress.do,scripts/stata/common/bnr_step5_suppress.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,Current operational entry points,25,`reporting/BNR_REPORTING_WORKFLOW_CONTRACT.md`,reporting/BNR_REPORTING_WORKFLOW_CONTRACT.md,scripts/stata/reporting/BNR_REPORTING_WORKFLOW_CONTRACT.md,BNR Reporting Workflow Contract,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,34,`monthly/bnr_step1_cvd_redcap_extract.do`,monthly/bnr_step1_cvd_redcap_extract.do,scripts/stata/monthly/bnr_step1_cvd_redcap_extract.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,35,`monthly/bnr_step2_cvd_confidential.do`,monthly/bnr_step2_cvd_confidential.do,scripts/stata/monthly/bnr_step2_cvd_confidential.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,36,`monthly/bnr_step3_metric_inputs.do`,monthly/bnr_step3_metric_inputs.do,scripts/stata/monthly/bnr_step3_metric_inputs.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,37,`monthly/bnr_step4_metrics.do`,monthly/bnr_step4_metrics.do,scripts/stata/monthly/bnr_step4_metrics.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,38,`monthly/bnr_step5_review.do`,monthly/bnr_step5_review.do,scripts/stata/monthly/bnr_step5_review.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD event release workflow,39,`monthly/bnr_step6_publish.do`,monthly/bnr_step6_publish.do,scripts/stata/monthly/bnr_step6_publish.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,53,`mortality/bnr_mort_s1_extract.do`,mortality/bnr_mort_s1_extract.do,scripts/stata/mortality/bnr_mort_s1_extract.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,54,`mortality/bnr_mort_s2_classify.do`,mortality/bnr_mort_s2_classify.do,scripts/stata/mortality/bnr_mort_s2_classify.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,55,`mortality/bnr_mort_s3_burden.do`,mortality/bnr_mort_s3_burden.do,scripts/stata/mortality/bnr_mort_s3_burden.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,56,`mortality/bnr_mort_s4_review.do`,mortality/bnr_mort_s4_review.do,scripts/stata/mortality/bnr_mort_s4_review.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,57,`mortality/bnr_mort_s5_approve.do`,mortality/bnr_mort_s5_approve.do,scripts/stata/mortality/bnr_mort_s5_approve.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD mortality release workflow,58,`mortality/bnr_mort_s6_publish.do`,mortality/bnr_mort_s6_publish.do,scripts/stata/mortality/bnr_mort_s6_publish.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,68,`reporting/bnr_report_update_build.do`,reporting/bnr_report_update_build.do,scripts/stata/reporting/bnr_report_update_build.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,69,`reporting/templates/bnr_report_update_template.qmd`,reporting/templates/bnr_report_update_template.qmd,scripts/stata/reporting/templates/bnr_report_update_template.qmd,Rolling CVD update: @@REPORT_MONTH_NAME@@ @@REPORT_YEAR@@,Recent hospital-recorded CVD events and CVD deaths from the declared public releases.,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,70,`reporting/bnr_report_annual_s1_build.do`,reporting/bnr_report_annual_s1_build.do,scripts/stata/reporting/bnr_report_annual_s1_build.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,71,`reporting/bnr_report_annual_s2_approve.do`,reporting/bnr_report_annual_s2_approve.do,scripts/stata/reporting/bnr_report_annual_s2_approve.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,72,`reporting/bnr_report_annual_s3_publish.do`,reporting/bnr_report_annual_s3_publish.do,scripts/stata/reporting/bnr_report_annual_s3_publish.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,73,`reporting/bnr_report_oneoff_s1_prepare.do`,reporting/bnr_report_oneoff_s1_prepare.do,scripts/stata/reporting/bnr_report_oneoff_s1_prepare.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,74,`reporting/bnr_report_oneoff_s2_approve.do`,reporting/bnr_report_oneoff_s2_approve.do,scripts/stata/reporting/bnr_report_oneoff_s2_approve.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,75,`reporting/bnr_report_oneoff_s3_publish.do`,reporting/bnr_report_oneoff_s3_publish.do,scripts/stata/reporting/bnr_report_oneoff_s3_publish.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
scripts/stata/README.qmd,Stata code inventory,,CVD reporting workflows,76,`reporting/bnr_report_disclosure_screen.do`,reporting/bnr_report_disclosure_screen.do,scripts/stata/reporting/bnr_report_disclosure_screen.do,,,exists,Yes — local target exists,Not assessed,Local target exists.
site/about/index.qmd,About the BNR,The Barbados National Registry: national evidence for healthier lives in Barbados.,The BNR Information Hub,149,Explore CVD surveillance,../surveillance/cvd/index.qmd,site/surveillance/cvd/index.qmd,Cardiovascular Disease Surveillance,"BNR surveillance outputs for stroke, heart attack, and related cardiovascular disease indicators.",exists,Yes — local target exists,Not assessed,Local target exists.
site/about/index.qmd,About the BNR,The Barbados National Registry: national evidence for healthier lives in Barbados.,The BNR Information Hub,150,Read the methods,../methods/index.qmd,site/methods/index.qmd,Public Methods Manual,Plain-language explanations of Barbados National Registry measures and methods.,exists,Yes — local target exists,Not assessed,Local target exists.
site/about/index.qmd,About the BNR,The Barbados National Registry: national evidence for healthier lives in Barbados.,The BNR Information Hub,151,View latest reports,../news/index.qmd,site/news/index.qmd,Latest Surveillance Outputs,Latest public outputs from the Barbados National Registry Information Hub.,exists,Yes — local target exists,Not assessed,Local target exists.
site/index.qmd,Data for Impact,,Data for Impact,26,View latest outputs,news/index.qmd,site/news/index.qmd,Latest Surveillance Outputs,Latest public outputs from the Barbados National Registry Information Hub.,exists,Yes — local target exists,Not assessed,Local target exists.
site/index.qmd,Data for Impact,,CVD events,45,Explore CVD events,surveillance/cvd/metrics/burden/index.qmd,site/surveillance/cvd/metrics/burden/index.qmd,CVD events,,exists,Yes — local target exists,Not assessed,Local target exists.
site/index.qmd,Data for Impact,,CVD deaths,59,Explore CVD deaths,surveillance/cvd/metrics/mortality/index.qmd,site/surveillance/cvd/metrics/mortality/index.qmd,CVD mortality,,exists,Yes — local target exists,Not assessed,Local target exists.
